Tim Robbins,The Shawshank Redemption
Morgan Freeman,The Shawshank Redemption
Bob Gunton,The Shawshank Redemption
William Sadler,The Shawshank Redemption
Marlon Brando,The Godfather
Al Pacino,The Godfather
James Caan,The Godfather
Diane Keaton,The Godfather
Christian Bale,The Dark Knight
Heath Ledger,The Dark Knight
Aaron Eckhart,The Dark Knight
Michael Caine,The Dark Knight
Al Pacino,The Godfather: Part II
Robert De Niro,The Godfather: Part II
Robert Duvall,The Godfather: Part II
Diane Keaton,The Godfather: Part II
Henry Fonda,12 Angry Men
Lee J. Cobb,12 Angry Men
Martin Balsam,12 Angry Men
John Fiedler,12 Angry Men
Elijah Wood,The Lord of the Rings: The Return of the King
Viggo Mortensen,The Lord of the Rings: The Return of the King
Ian McKellen,The Lord of the Rings: The Return of the King
Orlando Bloom,The Lord of the Rings: The Return of the King
John Travolta,Pulp Fiction
Uma Thurman,Pulp Fiction
Samuel L. Jackson,Pulp Fiction
Bruce Willis,Pulp Fiction
Liam Neeson,Schindler's List
Ralph Fiennes,Schindler's List
Ben Kingsley,Schindler's List
Caroline Goodall,Schindler's List
Leonardo DiCaprio,Inception
Joseph Gordon-Levitt,Inception
Elliot Page,Inception
Ken Watanabe,Inception
Brad Pitt,Fight Club
Edward Norton,Fight Club
Meat Loaf,Fight Club
Zach Grenier,Fight Club
Elijah Wood,The Lord of the Rings: The Fellowship of the Ring
Ian McKellen,The Lord of the Rings: The Fellowship of the Ring
Orlando Bloom,The Lord of the Rings: The Fellowship of the Ring
Sean Bean,The Lord of the Rings: The Fellowship of the Ring
Tom Hanks,Forrest Gump
Robin Wright,Forrest Gump
Gary Sinise,Forrest Gump
Sally Field,Forrest Gump
Clint Eastwood,"Il buono, il brutto, il cattivo"
Eli Wallach,"Il buono, il brutto, il cattivo"
Lee Van Cleef,"Il buono, il brutto, il cattivo"
Aldo Giuffrè,"Il buono, il brutto, il cattivo"
Elijah Wood,The Lord of the Rings: The Two Towers
Ian McKellen,The Lord of the Rings: The Two Towers
Viggo Mortensen,The Lord of the Rings: The Two Towers
Orlando Bloom,The Lord of the Rings: The Two Towers
Lilly Wachowski,The Matrix
Keanu Reeves,The Matrix
Laurence Fishburne,The Matrix
Carrie-Anne Moss,The Matrix
Robert De Niro,Goodfellas
Ray Liotta,Goodfellas
Joe Pesci,Goodfellas
Lorraine Bracco,Goodfellas
Mark Hamill,Star Wars: Episode V - The Empire Strikes Back
Harrison Ford,Star Wars: Episode V - The Empire Strikes Back
Carrie Fisher,Star Wars: Episode V - The Empire Strikes Back
Billy Dee Williams,Star Wars: Episode V - The Empire Strikes Back
Jack Nicholson,One Flew Over the Cuckoo's Nest
Louise Fletcher,One Flew Over the Cuckoo's Nest
Michael Berryman,One Flew Over the Cuckoo's Nest
Peter Brocco,One Flew Over the Cuckoo's Nest
Lin-Manuel Miranda,Hamilton
Phillipa Soo,Hamilton
Leslie Odom Jr.,Hamilton
Renée Elise Goldsberry,Hamilton
Kang-ho Song,Gisaengchung
Lee Sun-kyun,Gisaengchung
Cho Yeo-jeong,Gisaengchung
Choi Woo-sik,Gisaengchung
Suriya,Soorarai Pottru
Madhavan,Soorarai Pottru
Paresh Rawal,Soorarai Pottru
Aparna Balamurali,Soorarai Pottru
Matthew McConaughey,Interstellar
Anne Hathaway,Interstellar
Jessica Chastain,Interstellar
Mackenzie Foy,Interstellar
Kátia Lund,Cidade de Deus
Alexandre Rodrigues,Cidade de Deus
Leandro Firmino,Cidade de Deus
Matheus Nachtergaele,Cidade de Deus
Daveigh Chase,Sen to Chihiro no kamikakushi
Suzanne Pleshette,Sen to Chihiro no kamikakushi
Miyu Irino,Sen to Chihiro no kamikakushi
Rumi Hiiragi,Sen to Chihiro no kamikakushi
Tom Hanks,Saving Private Ryan
Matt Damon,Saving Private Ryan
Tom Sizemore,Saving Private Ryan
Edward Burns,Saving Private Ryan
Tom Hanks,The Green Mile
Michael Clarke Duncan,The Green Mile
David Morse,The Green Mile
Bonnie Hunt,The Green Mile
Roberto Benigni,La vita è bella
Nicoletta Braschi,La vita è bella
Giorgio Cantarini,La vita è bella
Giustino Durano,La vita è bella
Morgan Freeman,Se7en
Brad Pitt,Se7en
Kevin Spacey,Se7en
Andrew Kevin Walker,Se7en
Jodie Foster,The Silence of the Lambs
Anthony Hopkins,The Silence of the Lambs
Lawrence A. Bonney,The Silence of the Lambs
Kasi Lemmons,The Silence of the Lambs
Mark Hamill,Star Wars
Harrison Ford,Star Wars
Carrie Fisher,Star Wars
Alec Guinness,Star Wars
Tatsuya Nakadai,Seppuku
Akira Ishihama,Seppuku
Shima Iwashita,Seppuku
Tetsurô Tanba,Seppuku
Toshirô Mifune,Shichinin no samurai
Takashi Shimura,Shichinin no samurai
Keiko Tsushima,Shichinin no samurai
Yukiko Shimazaki,Shichinin no samurai
James Stewart,It's a Wonderful Life
Donna Reed,It's a Wonderful Life
Lionel Barrymore,It's a Wonderful Life
Thomas Mitchell,It's a Wonderful Life
Joaquin Phoenix,Joker
Robert De Niro,Joker
Zazie Beetz,Joker
Frances Conroy,Joker
Miles Teller,Whiplash
J.K. Simmons,Whiplash
Melissa Benoist,Whiplash
Paul Reiser,Whiplash
Éric Toledano,The Intouchables
François Cluzet,The Intouchables
Omar Sy,The Intouchables
Anne Le Ny,The Intouchables
Christian Bale,The Prestige
Hugh Jackman,The Prestige
Scarlett Johansson,The Prestige
Michael Caine,The Prestige
Leonardo DiCaprio,The Departed
Matt Damon,The Departed
Jack Nicholson,The Departed
Mark Wahlberg,The Departed
Adrien Brody,The Pianist
Thomas Kretschmann,The Pianist
Frank Finlay,The Pianist
Emilia Fox,The Pianist
Russell Crowe,Gladiator
Joaquin Phoenix,Gladiator
Connie Nielsen,Gladiator
Oliver Reed,Gladiator
Edward Norton,American History X
Edward Furlong,American History X
Beverly D'Angelo,American History X
Jennifer Lien,American History X
Kevin Spacey,The Usual Suspects
Gabriel Byrne,The Usual Suspects
Chazz Palminteri,The Usual Suspects
Stephen Baldwin,The Usual Suspects
Jean Reno,Léon
Gary Oldman,Léon
Natalie Portman,Léon
Danny Aiello,Léon
Rob Minkoff,The Lion King
Matthew Broderick,The Lion King
Jeremy Irons,The Lion King
James Earl Jones,The Lion King
Arnold Schwarzenegger,Terminator 2: Judgment Day
Linda Hamilton,Terminator 2: Judgment Day
Edward Furlong,Terminator 2: Judgment Day
Robert Patrick,Terminator 2: Judgment Day
Philippe Noiret,Nuovo Cinema Paradiso
Enzo Cannavale,Nuovo Cinema Paradiso
Antonella Attili,Nuovo Cinema Paradiso
Isa Danieli,Nuovo Cinema Paradiso
Tsutomu Tatsumi,Hotaru no haka
Ayano Shiraishi,Hotaru no haka
Akemi Yamaguchi,Hotaru no haka
Yoshiko Shinohara,Hotaru no haka
Michael J. Fox,Back to the Future
Christopher Lloyd,Back to the Future
Lea Thompson,Back to the Future
Crispin Glover,Back to the Future
Henry Fonda,Once Upon a Time in the West
Charles Bronson,Once Upon a Time in the West
Claudia Cardinale,Once Upon a Time in the West
Jason Robards,Once Upon a Time in the West
Anthony Perkins,Psycho
Janet Leigh,Psycho
Vera Miles,Psycho
John Gavin,Psycho
Humphrey Bogart,Casablanca
Ingrid Bergman,Casablanca
Paul Henreid,Casablanca
Claude Rains,Casablanca
Charles Chaplin,Modern Times
Paulette Goddard,Modern Times
Henry Bergman,Modern Times
Tiny Sandford,Modern Times
Charles Chaplin,City Lights
Virginia Cherrill,City Lights
Florence Lee,City Lights
Harry Myers,City Lights
Zain Al Rafeea,Capharnaüm
Yordanos Shiferaw,Capharnaüm
Boluwatife Treasure Bankole,Capharnaüm
Kawsar Al Haddad,Capharnaüm
Erdem Can,Ayla: The Daughter of War
Çetin Tekindor,Ayla: The Daughter of War
Ismail Hacioglu,Ayla: The Daughter of War
Kyung-jin Lee,Ayla: The Daughter of War
Pushkar,Vikram Vedha
Madhavan,Vikram Vedha
Vijay Sethupathi,Vikram Vedha
Shraddha Srinath,Vikram Vedha
Ryûnosuke Kamiki,Kimi no na wa.
Mone Kamishiraishi,Kimi no na wa.
Ryô Narita,Kimi no na wa.
Aoi Yûki,Kimi no na wa.
Aamir Khan,Dangal
Sakshi Tanwar,Dangal
Fatima Sana Shaikh,Dangal
Sanya Malhotra,Dangal
Peter Ramsey,Spider-Man: Into the Spider-Verse
Rodney Rothman,Spider-Man: Into the Spider-Verse
Shameik Moore,Spider-Man: Into the Spider-Verse
Jake Johnson,Spider-Man: Into the Spider-Verse
Joe Russo,Avengers: Endgame
Robert Downey Jr.,Avengers: Endgame
Chris Evans,Avengers: Endgame
Mark Ruffalo,Avengers: Endgame
Joe Russo,Avengers: Infinity War
Robert Downey Jr.,Avengers: Infinity War
Chris Hemsworth,Avengers: Infinity War
Mark Ruffalo,Avengers: Infinity War
Adrian Molina,Coco
Anthony Gonzalez,Coco
Gael García Bernal,Coco
Benjamin Bratt,Coco
Jamie Foxx,Django Unchained
Christoph Waltz,Django Unchained
Leonardo DiCaprio,Django Unchained
Kerry Washington,Django Unchained
Christian Bale,The Dark Knight Rises
Tom Hardy,The Dark Knight Rises
Anne Hathaway,The Dark Knight Rises
Gary Oldman,The Dark Knight Rises
Aamir Khan,3 Idiots
Madhavan,3 Idiots
Mona Singh,3 Idiots
Sharman Joshi,3 Idiots
Amole Gupte,Taare Zameen Par
Darsheel Safary,Taare Zameen Par
Aamir Khan,Taare Zameen Par
Tisca Chopra,Taare Zameen Par
Ben Burtt,WALL·E
Elissa Knight,WALL·E
Jeff Garlin,WALL·E
Fred Willard,WALL·E
Ulrich Mühe,The Lives of Others
Martina Gedeck,The Lives of Others
Sebastian Koch,The Lives of Others
Ulrich Tukur,The Lives of Others
Choi Min-sik,Oldeuboi
Yoo Ji-Tae,Oldeuboi
Kang Hye-jeong,Oldeuboi
Kim Byeong-Ok,Oldeuboi
Guy Pearce,Memento
Carrie-Anne Moss,Memento
Joe Pantoliano,Memento
Mark Boone Junior,Memento
Yôji Matsuda,Mononoke-hime
Yuriko Ishida,Mononoke-hime
Yûko Tanaka,Mononoke-hime
Billy Crudup,Mononoke-hime
Robert De Niro,Once Upon a Time in America
James Woods,Once Upon a Time in America
Elizabeth McGovern,Once Upon a Time in America
Treat Williams,Once Upon a Time in America
Harrison Ford,Raiders of the Lost Ark
Karen Allen,Raiders of the Lost Ark
Paul Freeman,Raiders of the Lost Ark
John Rhys-Davies,Raiders of the Lost Ark
Jack Nicholson,The Shining
Shelley Duvall,The Shining
Danny Lloyd,The Shining
Scatman Crothers,The Shining
Martin Sheen,Apocalypse Now
Marlon Brando,Apocalypse Now
Robert Duvall,Apocalypse Now
Frederic Forrest,Apocalypse Now
Sigourney Weaver,Alien
Tom Skerritt,Alien
John Hurt,Alien
Veronica Cartwright,Alien
Rajesh Khanna,Anand
Amitabh Bachchan,Anand
Sumita Sanyal,Anand
Ramesh Deo,Anand
Toshirô Mifune,Tengoku to jigoku
Yutaka Sada,Tengoku to jigoku
Tatsuya Nakadai,Tengoku to jigoku
Kyôko Kagawa,Tengoku to jigoku
Peter Sellers,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
George C. Scott,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Sterling Hayden,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Keenan Wynn,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Tyrone Power,Witness for the Prosecution
Marlene Dietrich,Witness for the Prosecution
Charles Laughton,Witness for the Prosecution
Elsa Lanchester,Witness for the Prosecution
Kirk Douglas,Paths of Glory
Ralph Meeker,Paths of Glory
Adolphe Menjou,Paths of Glory
George Macready,Paths of Glory
James Stewart,Rear Window
Grace Kelly,Rear Window
Wendell Corey,Rear Window
Thelma Ritter,Rear Window
William Holden,Sunset Blvd.
Gloria Swanson,Sunset Blvd.
Erich von Stroheim,Sunset Blvd.
Nancy Olson,Sunset Blvd.
Charles Chaplin,The Great Dictator
Paulette Goddard,The Great Dictator
Jack Oakie,The Great Dictator
Reginald Gardiner,The Great Dictator
Dean-Charles Chapman,1917
George MacKay,1917
Daniel Mays,1917
Colin Firth,1917
Anand Gandhi,Tumbbad
Adesh Prasad,Tumbbad
Sohum Shah,Tumbbad
Jyoti Malshe,Tumbbad
Ayushmann Khurrana,Andhadhun
Tabu,Andhadhun
Radhika Apte,Andhadhun
Anil Dhawan,Andhadhun
Mohanlal,Drishyam
Meena,Drishyam
Asha Sharath,Drishyam
Ansiba,Drishyam
Mads Mikkelsen,Jagten
Thomas Bo Larsen,Jagten
Annika Wedderkopp,Jagten
Lasse Fogelstrøm,Jagten
Payman Maadi,Jodaeiye Nader az Simin
Leila Hatami,Jodaeiye Nader az Simin
Sareh Bayat,Jodaeiye Nader az Simin
Shahab Hosseini,Jodaeiye Nader az Simin
Lubna Azabal,Incendies
Mélissa Désormeaux-Poulin,Incendies
Maxim Gaudette,Incendies
Mustafa Kamel,Incendies
Aras Bulut Iynemli,Miracle in cell NO.7
Nisa Sofiya Aksongur,Miracle in cell NO.7
Deniz Baysal,Miracle in cell NO.7
Celile Toyon Uysal,Miracle in cell NO.7
Çetin Tekindor,Babam ve Oglum
Fikret Kuskan,Babam ve Oglum
Hümeyra,Babam ve Oglum
Ege Tanman,Babam ve Oglum
Brad Pitt,Inglourious Basterds
Diane Kruger,Inglourious Basterds
Eli Roth,Inglourious Basterds
Mélanie Laurent,Inglourious Basterds
Jim Carrey,Eternal Sunshine of the Spotless Mind
Kate Winslet,Eternal Sunshine of the Spotless Mind
Tom Wilkinson,Eternal Sunshine of the Spotless Mind
Gerry Robert Byrne,Eternal Sunshine of the Spotless Mind
Audrey Tautou,Amélie
Mathieu Kassovitz,Amélie
Rufus,Amélie
Lorella Cravotta,Amélie
Jason Statham,Snatch
Brad Pitt,Snatch
Benicio Del Toro,Snatch
Dennis Farina,Snatch
Ellen Burstyn,Requiem for a Dream
